Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"George Klassen","PHI","SIRP","AA","22.4944444",,25,"60 / 70","","50 / 55","","20 / 30","35+",93,0.35248042,0.12010444,0.479381443,3.096774193548387,2.9975223459680205,"sa3023440"
"Kyle Carr","NYY","SP","A+","22.2166666",,25,"50 / 55","50 / 55","","40 / 50","30 / 50","40",104,0.21017699,0.12168142,0.496575342,4.759615384615385,4.378761473068824,"sa3023444"
"Charlee Soto","MIN","SP","A","18.9",,15,"50 / 50","50 / 55","","40 / 50","20 / 45","40+",74,0.26363636,0.1,0.489898989,5.22972972972973,3.5984401749598014,"sa3023450"
"Jackson Baumeister","BAL","SP","A+","22.0388888",,13,"50 / 55","45 / 55","55 / 60","35 / 45","30 / 40","40+",99.2,0.32687651,0.11622276,0.386046511,2.528428351710735,3.615253462378099,"sa3023471"
"Hunter Owen","KCR","SP","A+","22.4833333",,41,"45 / 45","50 / 55","50 / 50","40 / 45","40 / 55","35+",102,0.18867925,0.0754717,0.408163265,4.235294117647059,4.265006793056633,"sa3023474"
"Jojo Ingrassia","BOS","MIRP","A","22",,37,"40 / 40","50 / 55","","50 / 55","35 / 55","35+",58.1,0.39574468,0.08510638,0.52173913,1.8514287328603458,1.93936984985838,"sa3023475"
"Michael Forret","BAL","MIRP","A+","20.3",,17,"55 / 60","60 / 70","","40 / 55","30 / 40","40+",99.2,0.28770302,0.10208817,0.433884297,3.882942945655494,3.6961998976260175,"sa3023479"
"Tanner Hall","MIN","SP","A+","22.35",,43,"30 / 30","40 / 45","","60 / 60","35 / 55","35+",65,0.25255973,0.09556314,0.56,5.399999841543349,3.5578788257440075,"sa3023481"
"Brandon Sproat","NYM","SP","AAA","23.8527777",,8,"60 / 65","50 / 60","45 / 45","50 / 55","40 / 45","45",116.1,0.28293737,0.09071274,0.498233215,3.404011610146404,3.482243199501777,"sa3023499"
"Nick Dean","CHC","MIRP","A+","23.5777777",,42,"40 / 40","40 / 40","","60 / 70","30 / 40","35+",90.2,0.230563,0.06970509,0.40625,3.573529211295116,3.709893030602259,"sa3023506"
"Zach Fruit","BAL","SIRP","A+","22.2833333",,34,"55 / 60","50 / 55","40 / 40","40 / 50","30 / 35","35+",107,0.25111111,0.12222222,0.466911764,3.02803738317757,4.114106451462362,"sa3023507"
"Will Sanders","CHC","SP","AA","22.3166666",,20,"40 / 40","55 / 55","50 / 50","45 / 50","35 / 55","40",96.2,0.24829157,0.10022779,0.420074349,4.655172903671044,3.8150222493501023,"sa3023508"
"Drew Dowd","TBR","SP","A","22.5583333",,22,"35 / 40","40 / 45","70 / 70","40 / 50","40 / 50","40",110.2,0.21806167,0.09911894,0.408163265,2.846385803809642,4.077371879342738,"sa3023509"
"Blake Wolters","KCR","SP","A","19.7472222",,8,"50 / 60","40 / 55","","35 / 50","35 / 50","40+",55.2,0.18623482,0.10121457,0.464705882,4.20359243028904,4.208244071731281,"sa3023513"
"Eriq Swan","LAD","SIRP","A","22.7333333",,37,"65 / 70","50 / 55","","40 / 50","30 / 40","40",28.1,0.2556391,0.12781955,0.381578947,5.7176457758183705,4.739550818361468,"sa3023514"
"Brody Hopkins","SEA","SP","A+","22.5166666",,7,"60 / 70","55 / 60","","40 / 50","30 / 40","45+",115,0.27198364,0.10838446,0.518382352,3.0521742673993297,4.318843373545321,"sa3023515"
