Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Kervin Castro","SFG","SIRP","AAA","22.3166666",,22,"60 / 60","","50 / 55","","30 / 40","40+",50.1,0.32380952,0.11904762,0.36036036,3.2185432496319226,4.525502086251063,"21656"
"Edward Cabrera","MIA","SP","MLB","23.1333333",65,4,"60 / 60","50 / 60","","45 / 55","45 / 50","50",61.1,0.36947791,0.10040161,0.4296875,2.9347827608058124,3.299863617631508,"21690"
"Luis Oviedo","PIT","MIRP","","22.0444444",,23,"55 / 60","","55 / 55","45 / 55","30 / 40","40+",12,0.23636364,0.12727273,0.470588235,6.75,4.9068398371338855,"21728"
"Braxton Garrett","MIA","SP","MLB","23.8222222",,28,"40 / 40","45 / 45","55 / 55","50 / 50","50 / 55","40",89.2,0.23989218,0.09433962,0.445378151,3.7137550681591467,4.555310696640495,"21844"
"Cole Ragans","TEX","SP","MLB","23.4694444",,36,"45 / 45","","40 / 45","60 / 60","40 / 60","40",80.2,0.25663717,0.10029499,0.361502347,4.351240218137658,4.864291447670885,"21846"
"Mason Thompson","SDP","SIRP","MLB","23.2805555",,22,"50 / 60","50 / 50","40 / 55","50 / 60","30 / 35","40",32.1,0.20714286,0.1,0.642105263,6.958761518269663,4.671050425309603,"21850"
"Riley Pint","COL","SIRP","","23.5694444",,29,"70 / 70","70 / 70","","","20 / 30","35+",10.2,0.34693878,0.20408163,0.526315789,3.374998994171919,4.620962893590446,"21858"
"Alex Speas","TEX","SIRP","MLB","23.2416666",,43,"70 / 70","","70 / 70","","20 / 30","40",17.1,0.35483871,0.29032258,0.466666666,9.86538656038331,5.921817534304216,"21859"
"Jordan Balazovic","MIN","SP","MLB","22.7055555",85,5,"55 / 55","50 / 55","55 / 55","40 / 45","45 / 55","50",98,0.23611111,0.08796296,0.476868327,3.5816326530612246,4.310345998588874,"21866"
"Gregory Santos","SFG","MIRP","MLB","21.7583333",105,5,"60 / 60","60 / 70","","45 / 50","30 / 45","50",16.2,0.18518519,0.13580247,0.615384615,7.019998661041515,6.143926200740305,"21894"
"Yerry Rodriguez","TEX","SP","MLB","23.6277777",,8,"50 / 55","50 / 55","","50 / 55","45 / 50","45",82.2,0.28169014,0.09859155,0.452380952,4.572581102337025,4.401745049651317,"21955"
